Filename,Description
20241006_145608_domenichini_a8cf2f37-3279-4f53-9cf1-9b2cdcb8641e.jpg,"Vue de la place Saint-Marc à Venise, avec la basilique Saint-Marc et le campanile en arrière-plan. Des passants animent la scène."
20241006_145608_domenichini_eed6822d-4de3-4738-bb81-ff3711b5f06a.jpg,"Vue du Grand Canal à Venise, avec le palais des Doges et le campanile de Saint-Marc. Des gondoles sont amarrées le long du canal."
20241006_145608_domenichini_f150c57b-9a7c-48f5-b5b5-937b3fb36577.jpg,"Vue panoramique d'une place italienne animée, avec des bâtiments historiques et des canaux traversant la scène."
20241006_145608_domenichini_f5a19991-533c-4d69-9f7d-3bac4fc301de.jpg,"Représentation de la place Saint-Marc à Venise sous un ciel clair, avec le campanile et la basilique Saint-Marc au loin."
20241006_145608_dorffmeister_043a84d4-9541-47f1-8530-2eeba231879e.jpg,"Un saint en habit épiscopal entouré de fidèles, dans une scène religieuse et symbolique."
20241006_145608_dorffmeister_7fff515a-aeab-4e1b-a01e-2a1c27167b4a.jpg,"Portrait d'une madone et d'un enfant dans un cadre doré, soutenus par des anges dans une composition céleste."
20241006_145608_dorffmeister_af14d228-c313-4afb-b4d6-da8cfbff2bc8.jpg,"Portrait d'un noble en habit bleu, assis avec des documents à la main, symbolisant son statut et son influence."
20241006_145608_dorffmeister_e11bf38f-24e3-4477-829d-1a5cd1996603.jpg,"Une audience royale où un noble reçoit les hommages de plusieurs figures religieuses et militaires, symbolisant une scène de dévotion et de loyauté."
20241006_145608_dorffmeister_fc5772c3-5e5c-4af8-88f5-d4c4fbf85709.jpg,"Représentation d'un philosophe en contemplation devant un buste antique, dans une scène symbolisant la quête de sagesse et de connaissance."
20241006_145608_douven_7d34ff2d-7b89-4112-945e-3cffae86f4cb.jpg,"Portrait d'une femme noble vêtue élégamment, entourée de divers objets symboliques tels qu'un globe et des fruits, dans un cadre architectural."
20241006_145608_greuze_0549763b-1603-4bf8-bbdd-bffe7d8f31fa.jpg,"Un jeune garçon est assis à une table, absorbé dans la lecture d'un livre ouvert devant lui. Il porte une veste marron et semble concentré, avec une expression pensive."
20241006_145608_greuze_0896290c-34c9-4001-b47d-0ebb8c1003c9.jpg,Une jeune femme tenant un agneau dans ses bras. Elle a les cheveux bouclés et porte une expression douce et mélancolique.
20241006_145608_greuze_53475591-dc47-4130-be51-20ffefc77061.jpg,"Portrait d'un jeune garçon avec des cheveux blonds, portant un gilet bleu et rouge. Il regarde fixement vers l'avant avec une expression sérieuse."
20241006_145608_greuze_82841703-bc8c-439b-8246-044cfbfbfc6b.jpg,"Une scène de groupe dans un paysage naturel. Plusieurs personnages interagissent, certains debout, d'autres assis, avec un pont en arrière-plan."
20241006_145608_greuze_a731fc79-8ad0-4c97-9017-2eddc5a1cc4d.jpg,"Portrait d'un homme mûr aux cheveux blancs, vêtu d'un manteau bleu foncé. Il a une expression réfléchie et sérieuse."
20241006_145608_greuze_a7d38e7b-3c34-453e-a384-41a271750a0d.jpg,"Une famille réunie dans un salon élégant. Un homme âgé parle tandis qu'un jeune garçon est assis sur les genoux d'une femme âgée, un chien se tient à gauche."
20241006_145608_greuze_bf5a8d95-cbbc-424e-9aff-f3d1c671b6ad.jpg,Portrait d'une jeune fille avec un foulard blanc couvrant ses cheveux. Elle a une expression douce et regarde vers la droite.
20241006_145608_greuze_c5d53d25-8209-4b91-9ef0-02be54db2f0f.jpg,"Une femme assise dans une chambre, vêtue d'une robe blanche. Elle semble triste et pensive, regardant vers le bas."
20241006_145608_greuze_c88c476b-25ad-499c-9a63-8de949f44543.jpg,"Scène dramatique avec une famille dans un intérieur sombre. Plusieurs personnages expriment des émotions intenses, certains tendant les bras vers l'avant."
20241006_145608_greuze_d37dbf39-a134-415c-9ff3-911a94527276.jpg,Scène de mort entourée par la famille. Une femme allongée sur un lit est entourée de personnages en deuil.
20241006_145608_guardi_3dd83f0e-f2a9-40f6-b62f-3436c716645f.jpg,"Scène religieuse avec des personnages entourant un lit où repose une figure sacrée, des anges veillent au-dessus."
20241006_145608_guardi_3df0bf8b-19a9-4d30-b671-93bd11ff8405.jpg,"Vue du Grand Canal de Venise, avec des gondoles et des bâtiments historiques de part et d'autre."
20241006_145608_guardi_4b7da035-98ca-4584-830f-6014213008c0.jpg,"Scène animée avec des gens rassemblés sur une place devant un port, avec des bateaux à voile en arrière-plan."
20241006_145608_guardi_5a7c9f4a-7950-40f2-846c-ee0a5c713f5b.jpg,Composition religieuse représentant la Vierge et l'Enfant entourés de saints et d'anges.
20241006_145608_guardi_6bf1ec7d-4496-4902-9606-dd90bcb8dee3.jpg,Petit pont au-dessus d'une rivière avec quelques personnages et un bateau en arrière-plan.
20241006_145608_guardi_6de04856-e69a-45d7-95f1-2e0603bc4356.jpg,"Place publique avec un grand clocher au centre, entouré de bâtiments vénitiens et de passants."
20241006_145608_guardi_6fe97bff-8d4f-4453-a332-47e59c0048e7.jpg,"Ruines antiques avec des colonnes et des personnages observant la scène, avec un cavalier."
